                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     88,                0.97319,                 0.6084,                0.88652,                0.70356,                0.59357,                0.62008,                0.35318,                 1.2221,                0.71865,                0.92924,              0.0004324,              0.0004324,              0.0004324
                     89,                0.97908,                0.61455,                0.89432,                0.70753,                0.63598,                0.62624,                0.35874,                 1.2272,                0.73003,                0.92386,              0.0004258,              0.0004258,              0.0004258
                     90,                0.96165,                0.62162,                0.89342,                0.68887,                0.61996,                0.61458,                0.34211,                 1.2294,                0.72382,                0.93358,              0.0004192,              0.0004192,              0.0004192
                     91,                0.93843,                0.60628,                 0.8865,                0.77047,                0.58183,                0.64076,                0.36113,                 1.2166,                0.73198,                 0.9253,              0.0004126,              0.0004126,              0.0004126
                     92,                0.97321,                0.60361,                0.89054,                0.69911,                0.64027,                0.63709,                0.35235,                 1.1776,                 0.7229,                 0.9191,               0.000406,               0.000406,               0.000406
                     93,                0.96641,                0.59904,                 0.8833,                0.65491,                0.67196,                0.61773,                0.33857,                 1.2127,                 0.7091,                0.92443,              0.0003994,              0.0003994,              0.0003994
                     94,                0.93966,                0.59357,                0.87894,                0.67593,                0.65118,                 0.6179,                0.33776,                  1.198,                0.70001,                0.92225,              0.0003928,              0.0003928,              0.0003928
                     95,                0.94836,                0.58685,                 0.8777,                0.62501,                0.68228,                0.63833,                0.36266,                 1.1858,                0.70187,                0.92414,              0.0003862,              0.0003862,              0.0003862
                     96,                0.92289,                0.58106,                0.87786,                0.65986,                0.69896,                0.65061,                0.36531,                 1.2024,                0.73013,                0.93007,              0.0003796,              0.0003796,              0.0003796
                     97,                 0.9368,                0.59505,                0.88305,                0.70366,                0.66225,                0.62914,                0.35532,                 1.1977,                0.72893,                0.92834,               0.000373,               0.000373,               0.000373
                     98,                0.92323,                0.58991,                0.87829,                0.66506,                0.64091,                0.63978,                0.35057,                 1.2153,                0.71662,                0.93131,              0.0003664,              0.0003664,              0.0003664
                     99,                0.93005,                0.58431,                0.88119,                0.66655,                0.62348,                0.63313,                0.34266,                 1.2178,                0.69859,                0.93129,              0.0003598,              0.0003598,              0.0003598
                    100,                0.96229,                0.60752,                0.88933,                0.69494,                0.64026,                0.64574,                0.35241,                 1.1906,                0.70914,                0.92451,              0.0003532,              0.0003532,              0.0003532
                    101,                 0.9334,                0.58625,                0.87947,                 0.6285,                0.71045,                0.64245,                0.36042,                  1.253,                 0.7305,                0.94463,              0.0003466,              0.0003466,              0.0003466
                    102,                0.92549,                0.57932,                0.87553,                0.67551,                 0.6897,                0.66186,                0.36057,                 1.1979,                 0.7161,                0.92518,                0.00034,                0.00034,                0.00034
                    103,                 0.9244,                0.57875,                0.87943,                0.70691,                0.63345,                0.67434,                0.37212,                 1.2028,                0.71392,                0.92874,              0.0003334,              0.0003334,              0.0003334
                    104,                0.92236,                0.58107,                0.87848,                0.68738,                0.64245,                0.66427,                0.38187,                 1.1876,                0.69295,                0.92781,              0.0003268,              0.0003268,              0.0003268
                    105,                0.91732,                0.57454,                0.87461,                0.69303,                 0.6573,                 0.6547,                0.35933,                 1.1878,                0.69766,                0.91688,              0.0003202,              0.0003202,              0.0003202
                    106,                0.90047,                0.56301,                0.86147,                0.68718,                0.65227,                0.65144,                0.36423,                 1.1747,                0.68534,                0.91748,              0.0003136,              0.0003136,              0.0003136
                    107,                0.92582,                0.58172,                0.87337,                0.65139,                0.72303,                 0.6616,                 0.3714,                 1.1761,                0.67608,                0.91187,               0.000307,               0.000307,               0.000307
                    108,                0.91556,                0.57655,                0.87657,                0.71031,                0.66034,                0.65349,                0.35566,                 1.1988,                0.70102,                0.92284,              0.0003004,              0.0003004,              0.0003004
                    109,                0.88195,                0.56149,                0.87324,                0.69758,                0.61353,                0.62019,                0.34877,                 1.2235,                0.71373,                0.92896,              0.0002938,              0.0002938,              0.0002938
                    110,                0.90774,                0.56828,                0.87669,                 0.7309,                0.60794,                 0.6281,                0.35933,                 1.2114,                0.70166,                0.92712,              0.0002872,              0.0002872,              0.0002872
                    111,                0.90721,                0.56719,                0.87406,                0.70608,                0.63761,                0.65105,                 0.3601,                 1.1865,                0.69927,                0.92093,              0.0002806,              0.0002806,              0.0002806
                    112,                0.90233,                0.56337,                0.87453,                0.69497,                0.62085,                0.65562,                0.35989,                 1.1783,                0.69161,                0.92335,               0.000274,               0.000274,               0.000274
                    113,                0.89601,                0.57517,                0.87402,                0.68678,                0.65968,                0.65771,                0.36194,                  1.194,                0.68817,                0.92421,              0.0002674,              0.0002674,              0.0002674
                    114,                0.88755,                0.55492,                0.86838,                0.69683,                0.62952,                0.64923,                0.37211,                 1.1686,                 0.6788,                0.91858,              0.0002608,              0.0002608,              0.0002608
                    115,                0.91339,                0.56802,                0.87835,                0.66315,                0.65456,                0.64994,                0.36723,                 1.2082,                0.68604,                0.93231,              0.0002542,              0.0002542,              0.0002542
                    116,                 0.9027,                0.56404,                0.87064,                0.78062,                0.54894,                0.61596,                0.35359,                 1.2275,                0.70681,                0.93383,              0.0002476,              0.0002476,              0.0002476
                    117,                0.87778,                0.55116,                0.86869,                0.65162,                 0.6049,                0.61703,                0.35062,                 1.2072,                0.70658,                0.93371,               0.000241,               0.000241,               0.000241
                    118,                0.89101,                0.55843,                0.87883,                0.69426,                0.61115,                0.61743,                0.34553,                 1.2006,                0.69149,                0.92761,              0.0002344,              0.0002344,              0.0002344
                    119,                0.88413,                0.55952,                0.86674,                0.67839,                0.60756,                0.62963,                0.35548,                 1.1838,                0.67562,                0.92636,              0.0002278,              0.0002278,              0.0002278
                    120,                0.87937,                 0.5511,                0.86848,                0.70929,                0.59433,                0.63705,                0.36684,                 1.1709,                0.66514,                0.92174,              0.0002212,              0.0002212,              0.0002212
                    121,                0.86704,                0.54496,                0.86738,                0.69645,                0.60442,                0.63222,                0.36143,                 1.1913,                0.67982,                0.92966,              0.0002146,              0.0002146,              0.0002146
